STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CIG,DEW,SLP,TMP,VIS,WND
72353013967,35.3889,-97.6006,391.7,2004-05-11T15:00:00,"22000,5,M,N","+0189,5","10118,5","+0239,5","016000,5,N,1","160,5,N,0062,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T15:52:00,"22000,5,M,N","+0189,5","10111,5","+0256,5","016000,5,N,1","190,5,N,0088,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T16:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T16:41:00,"00810,1,9,N","+0190,1","99999,9","+0270,1","016093,1,N,1","160,1,N,0108,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T16:52:00,"08230,5,M,N","+0183,5","10104,5","+0272,5","016000,5,N,1","170,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T17:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T17:52:00,"00990,1,9,N","+0180,1","10099,1","+0270,1","016093,1,N,1","160,1,N,0093,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T18:00:00,"01006,5,M,N","+0183,5","10099,5","+0272,5","016000,5,N,1","160,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T18:52:00,"22000,5,M,N","+0178,5","10089,5","+0278,5","016000,5,N,1","160,5,N,0093,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T19:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T19:52:00,"22000,5,M,N","+0178,5","10081,5","+0283,5","016000,5,N,1","160,5,N,0113,5"
72353013967,35.3889,-97.6006,391.7,2004-05-11T20:00:00,"99999,9,9,9","+9999,9","99999,9","+9999,9","999999,9,9,9","999,9,9,9999,9"
72353013967,35.3889,-97.6006,391.7,2004-05-11T20:52:00,"02100,1,C,N","+0180,1","10073,1","+0290,1","016093,1,N,1","170,1,N,0113,1"
72353013967,35.3889,-97.6006,391.7,2004-05-11T21:00:00,"07620,5,M,N","+0178,5","10073,5","+0289,5","016000,5,N,1","170,5,N,0113,5"
